生活	39	0	39.00 	1
生活	39	0	39.00 	1
性别	22	1	1.83 	0.95
性别	22	1	1.83 	0.95
性别	22	1	1.83 	0.95
性别	22	1	1.83 	0.95
性别	22	1	1.83 	0.95
性别	22	1	1.83 	0.95
生活	21	0	10.50 	0.9
文娱	20	0	1.67 	0.05
文娱	20	0	1.67 	0.05
文娱	20	0	1.67 	0.05
职场	14	0.64	14.00 	1
职场	14	0.64	14.00 	1
职场	14	0.64	14.00 	1
职场	14	0.64	14.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
政治	12	1	4.00 	1
文娱	8	0	8.00 	0.25
文娱	8	0	8.00 	0.25
文娱	8	0	8.00 	0.25
社会	8	1	4.00 	1
社会	8	1	4.00 	1
性别	3	1	3.00 	1
社会	3	0.67	3.00 	1
社会	3	0.67	3.00 	1
社会	3	0.67	3.00 	1
社会	3	1	1.50 	1
社会	3	1	1.50 	1
社会	3	1	1.50 	1
政治	3	0.33	3.00 	1
政治	3	0.33	3.00 	1
政治	3	0.33	3.00 	1
文娱	3	0	3.00 	0
文娱	3	0	3.00 	0
文娱	3	0	3.00 	0
政治	3	0.67	3.00 	0.67
政治	3	0.67	3.00 	0.67
政治	3	0.67	3.00 	0.67
生活	3	0.67	0.02 	0.67
社会	3	0.67	0.02 	0.67
社会	3	0.67	0.02 	0.67
